ConfessionURLofId,Hugs,Rocks,Teehee,Understand,Wow
http://www.experienceproject.com/confessions.php?cid=2,0,3,19,0,3
http://www.experienceproject.com/confessions.php?cid=10,6,0,2,3,2
http://www.experienceproject.com/confessions.php?cid=12,0,0,1,1,2
http://www.experienceproject.com/confessions.php?cid=15,2,0,0,1,1
http://www.experienceproject.com/confessions.php?cid=28,1,0,1,2,0
http://www.experienceproject.com/confessions.php?cid=33,2,0,0,2,0
http://www.experienceproject.com/confessions.php?cid=36,1,0,0,3,0
http://www.experienceproject.com/confessions.php?cid=59,0,0,1,0,2
http://www.experienceproject.com/confessions.php?cid=62,0,0,4,0,1
http://www.experienceproject.com/confessions.php?cid=78,0,0,1,0,0
http://www.experienceproject.com/confessions.php?cid=82,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=83,1,0,0,0,0
http://www.experienceproject.com/confessions.php?cid=91,2,0,0,2,0
http://www.experienceproject.com/confessions.php?cid=92,1,0,0,2,0
http://www.experienceproject.com/confessions.php?cid=103,0,0,0,0,0
http://www.experienceproject.com/confessions.php?cid=107,0,1,0,0,0
http://www.experienceproject.com/confessions.php?cid=115,0,0,0,2,0
http://www.experienceproject.com/confessions.php?cid=144,0,0,0,3,0
http://www.experienceproject.com/confessions.php?cid=151,0,0,2,1,0
http://www.experienceproject.com/confessions.php?cid=152,0,1,0,1,0
http://www.experienceproject.com/confessions.php?cid=168,1,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=187,0,1,1,0,0
http://www.experienceproject.com/confessions.php?cid=215,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=218,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=225,0,2,0,1,0
http://www.experienceproject.com/confessions.php?cid=234,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=238,0,0,0,0,0
http://www.experienceproject.com/confessions.php?cid=246,1,0,0,0,1
http://www.experienceproject.com/confessions.php?cid=263,0,0,1,0,0
http://www.experienceproject.com/confessions.php?cid=270,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=281,0,0,1,1,1
http://www.experienceproject.com/confessions.php?cid=284,4,0,1,3,1
http://www.experienceproject.com/confessions.php?cid=289,0,0,0,0,0
http://www.experienceproject.com/confessions.php?cid=335,0,0,0,2,0
http://www.experienceproject.com/confessions.php?cid=346,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=355,0,0,2,2,0
http://www.experienceproject.com/confessions.php?cid=358,0,1,0,2,0
http://www.experienceproject.com/confessions.php?cid=365,1,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=422,1,0,1,2,0
http://www.experienceproject.com/confessions.php?cid=463,0,0,1,3,0
http://www.experienceproject.com/confessions.php?cid=478,0,0,1,1,0
http://www.experienceproject.com/confessions.php?cid=480,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=481,1,0,0,2,0
http://www.experienceproject.com/confessions.php?cid=513,0,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=516,1,0,0,1,0
http://www.experienceproject.com/confessions.php?cid=527,0,0,2,1,0
http://www.experienceproject.com/confessions.php?cid=542,1,0,1,0,0
http://www.experienceproject.com/confessions.php?cid=548,0,1,1,0,1
http://www.experienceproject.com/confessions.php?cid=567,2,0,0,0,0
http://www.experienceproject.com/confessions.php?cid=600,0,0,0,0,0
http://www.experienceproject.com/confessions.php?cid=611,2,1,0,0,0
http://www.experienceproject.com/confessions.php?cid=625,0,0,0,3,0
